type,name,imgFile,,,Width,Height,Notes
background,classroom,img/backgrounds/classroom.png,,,2016,1536,
background,farm,img/backgrounds/farm.png,,,2016,1536,
background,kitchen,img/backgrounds/kitchen.png,,,2016,1536,
background,lake,img/backgrounds/lake.png,,,2016,1536,
background,meadow,img/backgrounds/meadow.png,,,2016,1536,
background,picnic,img/backgrounds/picnic.png,,,2016,1536,
background,path,img/backgrounds/path.png,,,2016,1536,
background,plain_hill,img/backgrounds/plain_hill.png,,,2016,1536,
background,playroom,img/backgrounds/playroom.png,,,2016,1536,
character,Anna,img/characters/Anna.png,,,209,450,
character,BigBird,img/characters/BigBird.png,,,225,450,
character,Boots,img/characters/Boots.png,,,415,450,
character,CookieMonster,img/characters/CookieMonster.png,,,313,450,
character,Cubby,img/characters/Cubby.png,,,285,450,
character,Donald,img/characters/Donald.png,,,323,450,
character,Dora,img/characters/Dora.png,,,326,450,
character,Elmo,img/characters/Elmo.png,,,308,450,
character,Elsa,img/characters/Elsa.png,,,223,450,
character,Izzy,img/characters/Izzy.png,,,351,450,
character,Jake,img/characters/Jake.png,,,258,450,
character,Kristoff,img/characters/Kristoff.png,,,233,450,
character,Mickey,img/characters/Mickey.png,,,382,450,
character,Minnie,img/characters/Minnie.png,,,285,450,
character,Swiper,img/characters/Swiper.png,,,728,450,
object,ball,img/objects/ball.png,,,202,200,
object,basket,img/objects/basket.png,,,200,176,
object,bear,img/objects/bear.png,,,142,200,
object,bike,img/objects/bike.png,,,356,225,
object,blanket,img/objects/blanket.png,,,200,179,
object,boat,img/objects/boat.png,,,325,100,
object,bucket,img/objects/bucket.png,,,200,172,
object,camera,img/objects/camera.png,,,200,134,
object,chest,img/objects/chest.png,,,200,190,
object,cookie,img/objects/cookie.png,,,200,199,
object,corn,img/objects/corn.png,,,200,200,
object,crayons,img/objects/crayons.png,,,176,200,
object,dog,img/objects/dog.png,,,275,275,
object,float,img/objects/float.png,,,200,200,
object,flowers,img/objects/flowers.png,,,169,200,
object,icing,img/objects/icing.png,,,225,205,
object,jar,img/objects/jar.png,,,225,354,
object,legoHouse,img/objects/legoHouse.png,,,275,250,
object,legos,img/objects/legos.png,,,200,174,
object,paper,img/objects/paper.png,,,200,186,
object,picture,img/objects/picture.png,,,200,160,
object,sandwich,img/objects/sandwich.png,,,225,129,
object,scissors,img/objects/scissors.png,,,300,150,
object,scooter,img/objects/scooter.png,,,155,225,
object,sheep,img/objects/sheep.png,,,240,250,
object,sprinkles,img/objects/sprinkles.png,,,200,200,
object,tiger,img/objects/tiger.png,,,300,275,
object,trash,img/objects/trash.png,,,200,200,
object,trashcan,img/objects/trashcan.png,,,250,282,
object,treasure_chest,img/objects/treasure_chest.png,,,200,135,
object,vase,img/objects/vase.png,,,137,200,
object,vase2,img/objects/vase2.png,,,205,300,
object,wheat,img/objects/wheat.png,,,158,200,
object,empty,img/objects/empty.png,,,,,
