storyId,phase,cond,text,audioFile
0,hi,na,"Hi, I'm Elmo!",audio/0_hi.wav
0,friends,na,One day my friends BigBird and CookieMonster came over to play at my house. ,audio/0_friends.wav
0,decide1,na,We found lots of fun toys to play with.,audio/0_decide1.wav
0,give1,na,CookieMonster played with a ball.,audio/0_give1.wav
0,give2,na,I played with a bear.,audio/0_give2.wav
0,distribute,na,Then we each found a truck so we could make them race. ,audio/0_distribute.wav
0,decide2,na,"After we played for a while, it was time to put the toys away. ",audio/0_decide2.wav
0,take1,na,BigBird put his truck back in the toy box.,audio/0_take1.wav
0,still,na,,audio/empty.wav
0,take2,na,I put my truck in the toy box too. ,audio/0_take2.wav
0,end,na,,audio/empty.wav
1,hi,na,"Hi, I'm Minnie! This is a story about a picnic.",audio/1_hi.wav
1,friends,na,My friends Donald and Mickey were coming with me to the park. ,audio/1_friends.wav
1,decide1,na,We needed to decide who should carry our picnic stuff.,audio/1_decide1.wav
1,give1,direct,"I said, ""Mickey can carry the blanket.""",audio/1_give1_direct.wav
1,give1,indirect,I said that Mickey could carry the blanket.,audio/1_give1_indirect.wav
1,give2,direct,"Donald said, ""I can carry the food."" ",audio/1_give2_direct.wav
1,give2,indirect,Donald said that I could carry the food.,audio/1_give2_indirect.wav
1,distribute,na,"When we got to the park, we sat down on our blanket and took out the sandwiches. ",audio/1_distribute.wav
1,decide2,na,"Suddenly, a dog came up to sniff our food! He looked so hungry. We decided that someone should feed him their sandwich.",audio/1_decide2.wav
1,take1,direct,"Donald said, ""Mickey can give his sandwich to the dog.""",audio/1_take1_direct.wav
1,take1,indirect,Donald said that Mickey could give his sandwich to the dog.,audio/1_take1_indirect.wav
1,still,na,The dog still looked hungry.,audio/1_still.wav
1,take2,na,So I gave my sandwich to the dog too.,audio/1_take2.wav
1,end,na,Then the dog ran away. I guess two sandwiches was enough for him to eat!,audio/1_end.wav
2,hi,na,"Hi, I'm Anna! I'm going to tell you about the time I went to pick some flowers.",audio/2_hi.wav
2,friends,na,My friends Elsa and Kristoff were with me. ,audio/2_friends.wav
2,decide1,na,We talked about who would carry the stuff we needed.,audio/2_decide1.wav
2,give1,na,I brought the scissors.,audio/2_give1.wav
2,give2,direct,"Elsa said, ""Kristoff can hold the vase.""",audio/2_give2_direct.wav
2,give2,indirect,Elsa said that Kristoff could hold the vase.,audio/2_give2_indirect.wav
2,distribute,na,"We went to a sunny meadow, and each of us picked some beautiful flowers.",audio/2_distribute.wav
2,decide2,na,"Our vase wasn't big enough, so we had to decide who would get to save their flowers in the vase.",audio/2_decide2.wav
2,take1,direct,"I said, ""Elsa can put her flowers in the vase."" ",audio/2_take1_direct.wav
2,take1,indirect,I said that Elsa could put her flowers in the vase.,audio/2_take1_indirect.wav
2,still,na,There was still some room left over.,audio/2_still.wav
2,take2,direct,"Kristoff said, ""I can put my flowers in the vase too."" ",audio/2_take2_direct.wav
